iri	status	name	description	code	scheme
:LE_11563	im:CM_ActiveStatus	ripon hospital - by appt		LE_11563	:TermBasedCode
:LE_11564	im:CM_ActiveStatus	ripple road medical centre		LE_11564	:TermBasedCode
:LE_11565	im:CM_ActiveStatus	riverhouse medical practice		LE_11565	:TermBasedCode
:LE_11566	im:CM_ActiveStatus	roding valley high sch		LE_11566	:TermBasedCode
:LE_11567	im:CM_ActiveStatus	ropsley		LE_11567	:TermBasedCode
:LE_11568	im:CM_ActiveStatus	ross casualty		LE_11568	:TermBasedCode
:LE_11569	im:CM_ActiveStatus	routine home visits - 8.30am-12.00pm		LE_11569	:TermBasedCode
:LE_1157	im:CM_ActiveStatus	Spa Medical Centre: Surgery		LE_1157	:TermBasedCode
:LE_11570	im:CM_ActiveStatus	routine planned visit		LE_11570	:TermBasedCode
:LE_11571	im:CM_ActiveStatus	roxburgh childrens centre		LE_11571	:TermBasedCode
:LE_11572	im:CM_ActiveStatus	royal blackburn hospital		LE_11572	:TermBasedCode
:LE_11573	im:CM_ActiveStatus	royal college for the deaf		LE_11573	:TermBasedCode
:LE_11574	im:CM_ActiveStatus	royal cornwall hospital treliske		LE_11574	:TermBasedCode
:LE_11575	im:CM_ActiveStatus	royal derby hospital - discharge, surgery		LE_11575	:TermBasedCode
:LE_11576	im:CM_ActiveStatus	royal hampshire county hospital - department of sexual health		LE_11576	:TermBasedCode
:LE_11577	im:CM_ActiveStatus	royal hampshire county hospital - haematology		LE_11577	:TermBasedCode
:LE_11578	im:CM_ActiveStatus	royal hampshire county hospital - neurology		LE_11578	:TermBasedCode
:LE_11579	im:CM_ActiveStatus	royal hampshire county hospital / accident  emergency (rhch)		LE_11579	:TermBasedCode
:LE_1158	im:CM_ActiveStatus	Speech Therapy Report		LE_1158	:TermBasedCode
:LE_11580	im:CM_ActiveStatus	royal hampshire county hospital / general surgery		LE_11580	:TermBasedCode
:LE_11581	im:CM_ActiveStatus	royal hampshire county hospital / haematology department		LE_11581	:TermBasedCode
:LE_11582	im:CM_ActiveStatus	royal hampshire county hospital / orthopaedics (and trauma)		LE_11582	:TermBasedCode
:LE_11583	im:CM_ActiveStatus	royal hampshire county hospital discharge summary		LE_11583	:TermBasedCode
:LE_11584	im:CM_ActiveStatus	royal hampshire county hospital- pathology		LE_11584	:TermBasedCode
:LE_11585	im:CM_ActiveStatus	royal liverpool university hospital-test result		LE_11585	:TermBasedCode
:LE_11586	im:CM_ActiveStatus	rycroft g.p surgery		LE_11586	:TermBasedCode
:LE_11587	im:CM_ActiveStatus	s.doc unit		LE_11587	:TermBasedCode
:LE_11588	im:CM_ActiveStatus	s.e.m.s. centre		LE_11588	:TermBasedCode
:LE_11589	im:CM_ActiveStatus	sach ot outpatients		LE_11589	:TermBasedCode
:LE_1159	im:CM_ActiveStatus	SPRING HILL PRACTICE		LE_1159	:TermBasedCode
:LE_11590	im:CM_ActiveStatus	sach physiotherapy dept		LE_11590	:TermBasedCode
:LE_11591	im:CM_ActiveStatus	safeguarding supervisor clinical case review		LE_11591	:TermBasedCode
:LE_11592	im:CM_ActiveStatus	saffron way health centre		LE_11592	:TermBasedCode
:LE_11593	im:CM_ActiveStatus	sale		LE_11593	:TermBasedCode
:LE_11594	im:CM_ActiveStatus	sarum road private hospital - physiotherapy department		LE_11594	:TermBasedCode
:LE_11595	im:CM_ActiveStatus	sasasasasasas		LE_11595	:TermBasedCode
:LE_11596	im:CM_ActiveStatus	saturday emergency		LE_11596	:TermBasedCode
:LE_11597	im:CM_ActiveStatus	scanned document #133489		LE_11597	:TermBasedCode
:LE_11598	im:CM_ActiveStatus	scanned document #142854		LE_11598	:TermBasedCode
:LE_11599	im:CM_ActiveStatus	scanned document #147723		LE_11599	:TermBasedCode
:LE_116	im:CM_ActiveStatus	Laboratory result		LE_116	:TermBasedCode
:LE_1160	im:CM_ActiveStatus	St Albans Medical Centre, H84033		LE_1160	:TermBasedCode
:LE_11600	im:CM_ActiveStatus	scanned document #151154		LE_11600	:TermBasedCode
:LE_11601	im:CM_ActiveStatus	scanned document #151814		LE_11601	:TermBasedCode
:LE_11602	im:CM_ActiveStatus	scanned document #152179		LE_11602	:TermBasedCode
:LE_11603	im:CM_ActiveStatus	scanned document #165202		LE_11603	:TermBasedCode
:LE_11604	im:CM_ActiveStatus	scanned document #170325		LE_11604	:TermBasedCode
:LE_11605	im:CM_ActiveStatus	scanned document #172412		LE_11605	:TermBasedCode
:LE_11606	im:CM_ActiveStatus	scanned document #178501		LE_11606	:TermBasedCode
:LE_11607	im:CM_ActiveStatus	scanned document #187059		LE_11607	:TermBasedCode
:LE_11608	im:CM_ActiveStatus	scanned document #189294		LE_11608	:TermBasedCode
:LE_11609	im:CM_ActiveStatus	scanned document #66008		LE_11609	:TermBasedCode
:LE_1161	im:CM_ActiveStatus	St Giles Surgery		LE_1161	:TermBasedCode
:LE_11610	im:CM_ActiveStatus	scanned document #69033		LE_11610	:TermBasedCode
:LE_11611	im:CM_ActiveStatus	scanned document #71050		LE_11611	:TermBasedCode
:LE_11612	im:CM_ActiveStatus	scanned document #71268		LE_11612	:TermBasedCode
:LE_11613	im:CM_ActiveStatus	scanned document #71441		LE_11613	:TermBasedCode
:LE_11614	im:CM_ActiveStatus	scanned document #71508		LE_11614	:TermBasedCode
:LE_11615	im:CM_ActiveStatus	scanned document #71649		LE_11615	:TermBasedCode
:LE_11616	im:CM_ActiveStatus	scanned document #71659		LE_11616	:TermBasedCode
:LE_11617	im:CM_ActiveStatus	scanned document #71678		LE_11617	:TermBasedCode
:LE_11618	im:CM_ActiveStatus	scanned document #71692		LE_11618	:TermBasedCode
:LE_11619	im:CM_ActiveStatus	scanned document #71715		LE_11619	:TermBasedCode
:LE_1162	im:CM_ActiveStatus	st hildas college		LE_1162	:TermBasedCode
:LE_11620	im:CM_ActiveStatus	scanned document #71718		LE_11620	:TermBasedCode
:LE_11621	im:CM_ActiveStatus	scanned document #71729		LE_11621	:TermBasedCode
:LE_11622	im:CM_ActiveStatus	scanned document #71747		LE_11622	:TermBasedCode
:LE_11623	im:CM_ActiveStatus	scanned document #71774		LE_11623	:TermBasedCode
:LE_11624	im:CM_ActiveStatus	scanned document #71781		LE_11624	:TermBasedCode
:LE_11625	im:CM_ActiveStatus	scanned document #71784		LE_11625	:TermBasedCode
:LE_11626	im:CM_ActiveStatus	scanned document #71805		LE_11626	:TermBasedCode
:LE_11627	im:CM_ActiveStatus	scanned document #71825		LE_11627	:TermBasedCode
:LE_11628	im:CM_ActiveStatus	scanned document #71871		LE_11628	:TermBasedCode
:LE_11629	im:CM_ActiveStatus	scanned document #71899		LE_11629	:TermBasedCode
:LE_1163	im:CM_ActiveStatus	ST JAMES MEDICAL CENTRE		LE_1163	:TermBasedCode
:LE_11630	im:CM_ActiveStatus	scanned document #71916		LE_11630	:TermBasedCode
:LE_11631	im:CM_ActiveStatus	scanned document 200997		LE_11631	:TermBasedCode
:LE_11632	im:CM_ActiveStatus	scanned document 22067  scan date 17 jan 2011		LE_11632	:TermBasedCode
:LE_11633	im:CM_ActiveStatus	scanned document 22339  scan date 19 jan 2011		LE_11633	:TermBasedCode
:LE_11634	im:CM_ActiveStatus	scanned document 22626  scan date 21 jan 2011		LE_11634	:TermBasedCode
:LE_11635	im:CM_ActiveStatus	scanned document 25051  scan date 16 feb 2011		LE_11635	:TermBasedCode
:LE_11636	im:CM_ActiveStatus	scanned document 7432  scan date 19 jul 2010		LE_11636	:TermBasedCode
:LE_11637	im:CM_ActiveStatus	school - bishop c/e rc		LE_11637	:TermBasedCode
:LE_11638	im:CM_ActiveStatus	school street surgery		LE_11638	:TermBasedCode
:LE_11639	im:CM_ActiveStatus	screening centre		LE_11639	:TermBasedCode
:LE_1164	im:CM_ActiveStatus	St James, Taunton		LE_1164	:TermBasedCode
:LE_11640	im:CM_ActiveStatus	sdoc consultation		LE_11640	:TermBasedCode
:LE_11641	im:CM_ActiveStatus	sdoc visit		LE_11641	:TermBasedCode
:LE_11642	im:CM_ActiveStatus	seadoc		LE_11642	:TermBasedCode
:LE_11643	im:CM_ActiveStatus	seadoc base visit		LE_11643	:TermBasedCode
:LE_11644	im:CM_ActiveStatus	second street surgery		LE_11644	:TermBasedCode
:LE_11645	im:CM_ActiveStatus	seen at p c s		LE_11645	:TermBasedCode
:LE_11646	im:CM_ActiveStatus	seen by co-operative doctor		LE_11646	:TermBasedCode
:LE_11647	im:CM_ActiveStatus	seen by hca in surgery		LE_11647	:TermBasedCode
:LE_11648	im:CM_ActiveStatus	seen by mb		LE_11648	:TermBasedCode
:LE_11649	im:CM_ActiveStatus	seen by physio		LE_11649	:TermBasedCode
:LE_1165	im:CM_ActiveStatus	st jamess		LE_1165	:TermBasedCode
:LE_11650	im:CM_ActiveStatus	seen by practice nurse in surgery		LE_11650	:TermBasedCode
:LE_11651	im:CM_ActiveStatus	seen by susdoc		LE_11651	:TermBasedCode
:LE_11652	im:CM_ActiveStatus	seen by trainee		LE_11652	:TermBasedCode
:LE_11653	im:CM_ActiveStatus	seen in doctors surgery		LE_11653	:TermBasedCode
:LE_11654	im:CM_ActiveStatus	seen on end of surgery		LE_11654	:TermBasedCode
:LE_11655	im:CM_ActiveStatus	seldoc centre no night fee		LE_11655	:TermBasedCode
:LE_11656	im:CM_ActiveStatus	self referral leighton hospital		LE_11656	:TermBasedCode
:LE_11657	im:CM_ActiveStatus	self screening		LE_11657	:TermBasedCode
:LE_11658	im:CM_ActiveStatus	sharps bin now prescribable in d.m.**		LE_11658	:TermBasedCode
:LE_11659	im:CM_ActiveStatus	shay lane medical centre (kelman)		LE_11659	:TermBasedCode
:LE_1166	im:CM_ActiveStatus	St Johns Lane		LE_1166	:TermBasedCode
:LE_11660	im:CM_ActiveStatus	sheerness c.h.clinic - sheppey leisure complex		LE_11660	:TermBasedCode
:LE_11661	im:CM_ActiveStatus	sheffield high school, school		LE_11661	:TermBasedCode
:LE_11662	im:CM_ActiveStatus	sheffield out of hours service, gp out of hours centre		LE_11662	:TermBasedCode
:LE_11663	im:CM_ActiveStatus	sheppey nhs healthcare centre		LE_11663	:TermBasedCode
:LE_11664	im:CM_ActiveStatus	sherbourne medical centre		LE_11664	:TermBasedCode
:LE_11665	im:CM_ActiveStatus	sheringham high school and sixth form centre, school		LE_11665	:TermBasedCode
:LE_11666	im:CM_ActiveStatus	sherwood rise medical centre		LE_11666	:TermBasedCode
:LE_11667	im:CM_ActiveStatus	shiregreen medical centre		LE_11667	:TermBasedCode
:LE_11668	im:CM_ActiveStatus	shiva medical centre broadway minster, sheppey		LE_11668	:TermBasedCode
:LE_11669	im:CM_ActiveStatus	shoulder pain (msg #447523)		LE_11669	:TermBasedCode
:LE_1167	im:CM_ActiveStatus	St Luke`s Medical Centre - Dr Ruiz  Dr Joarder		LE_1167	:TermBasedCode
:LE_11670	im:CM_ActiveStatus	shropshire lead gp health centre		LE_11670	:TermBasedCode
:LE_11671	im:CM_ActiveStatus	silverdale practice		LE_11671	:TermBasedCode
:LE_11672	im:CM_ActiveStatus	sisters well-woman clinic		LE_11672	:TermBasedCode
:LE_11673	im:CM_ActiveStatus	sky blue medical group		LE_11673	:TermBasedCode
:LE_11674	im:CM_ActiveStatus	slt outpatients - orsett hospital		LE_11674	:TermBasedCode
:LE_11675	im:CM_ActiveStatus	social services contact		LE_11675	:TermBasedCode
:LE_11676	im:CM_ActiveStatus	social services report		LE_11676	:TermBasedCode
:LE_11677	im:CM_ActiveStatus	soho road primary care centre		LE_11677	:TermBasedCode
:LE_11678	im:CM_ActiveStatus	sonning common health centre		LE_11678	:TermBasedCode
:LE_11679	im:CM_ActiveStatus	south doc services		LE_11679	:TermBasedCode
:LE_1168	im:CM_ActiveStatus	st stephens health centre		LE_1168	:TermBasedCode
:LE_11680	im:CM_ActiveStatus	south meadow surgery		LE_11680	:TermBasedCode
:LE_11681	im:CM_ActiveStatus	south oxford health centre		LE_11681	:TermBasedCode
:LE_11682	im:CM_ActiveStatus	south reddish medical ctr 2		LE_11682	:TermBasedCode
:LE_11683	im:CM_ActiveStatus	south view partnership		LE_11683	:TermBasedCode
:LE_11684	im:CM_ActiveStatus	southery [branch]		LE_11684	:TermBasedCode
:LE_11685	im:CM_ActiveStatus	spa medical practice		LE_11685	:TermBasedCode
:LE_11686	im:CM_ActiveStatus	spc urgent communication		LE_11686	:TermBasedCode
:LE_11687	im:CM_ActiveStatus	special care baby, hospital, agh		LE_11687	:TermBasedCode
:LE_11688	im:CM_ActiveStatus	specialist diabetes service		LE_11688	:TermBasedCode
:LE_11689	im:CM_ActiveStatus	spire gatwick park hospital (gb03)		LE_11689	:TermBasedCode
:LE_1169	im:CM_ActiveStatus	ST. BARTHOLOMEWS SURGERY		LE_1169	:TermBasedCode
:LE_11690	im:CM_ActiveStatus	spring farm surgery		LE_11690	:TermBasedCode
:LE_11691	im:CM_ActiveStatus	spring grove medical practice		LE_11691	:TermBasedCode
:LE_11692	im:CM_ActiveStatus	springfield clinic, dr brook and dr cummins		LE_11692	:TermBasedCode
:LE_11693	im:CM_ActiveStatus	squires lane medical practice		LE_11693	:TermBasedCode
:LE_11694	im:CM_ActiveStatus	st andrews medical practice.		LE_11694	:TermBasedCode
:LE_11695	im:CM_ActiveStatus	st edwards medical centre		LE_11695	:TermBasedCode
:LE_11696	im:CM_ActiveStatus	st helens - auckland medical group, gp surgery		LE_11696	:TermBasedCode
:LE_11697	im:CM_ActiveStatus	st lukes surgery		LE_11697	:TermBasedCode
:LE_11698	im:CM_ActiveStatus	st margarets clinic		LE_11698	:TermBasedCode
:LE_11699	im:CM_ActiveStatus	st marys church of england voluntary aided primary school, burnham-on-crouch, school		LE_11699	:TermBasedCode
:LE_117	im:CM_ActiveStatus	Evening Emergency		LE_117	:TermBasedCode
:LE_1170	im:CM_ActiveStatus	st. katherines dock practice		LE_1170	:TermBasedCode
:LE_11700	im:CM_ActiveStatus	st marys college, middlesbrough, school		LE_11700	:TermBasedCode
:LE_11701	im:CM_ActiveStatus	st mungos pancras way		LE_11701	:TermBasedCode
:LE_11702	im:CM_ActiveStatus	st neots health centre		LE_11702	:TermBasedCode
:LE_11703	im:CM_ActiveStatus	st nicholas surgery, surgery		LE_11703	:TermBasedCode
:LE_11704	im:CM_ActiveStatus	st patricks surgery, gp surgery		LE_11704	:TermBasedCode
:LE_11705	im:CM_ActiveStatus	st patricks surgery, surgery		LE_11705	:TermBasedCode
:LE_11706	im:CM_ActiveStatus	st pauls surgery		LE_11706	:TermBasedCode
:LE_11707	im:CM_ActiveStatus	st peters sanitorium		LE_11707	:TermBasedCode
:LE_11708	im:CM_ActiveStatus	st thomas hospital, ae		LE_11708	:TermBasedCode
:LE_11709	im:CM_ActiveStatus	st. elizabeths home		LE_11709	:TermBasedCode
:LE_1171	im:CM_ActiveStatus	St. Leonards		LE_1171	:TermBasedCode
:LE_11710	im:CM_ActiveStatus	st. marks medical centre		LE_11710	:TermBasedCode
:LE_11711	im:CM_ActiveStatus	st. thomass hospital		LE_11711	:TermBasedCode
:LE_11712	im:CM_ActiveStatus	st.davids family practice		LE_11712	:TermBasedCode
:LE_11713	im:CM_ActiveStatus	st.mungos endell st		LE_11713	:TermBasedCode
:LE_11714	im:CM_ActiveStatus	st.thom.hosp		LE_11714	:TermBasedCode
:LE_11715	im:CM_ActiveStatus	stadoc		LE_11715	:TermBasedCode
:LE_11716	im:CM_ActiveStatus	stafford general (mid staffs)		LE_11716	:TermBasedCode
:LE_11717	im:CM_ActiveStatus	staindrop surgery		LE_11717	:TermBasedCode
:LE_11718	im:CM_ActiveStatus	stanmore house surgery		LE_11718	:TermBasedCode
:LE_11719	im:CM_ActiveStatus	stansted clinic		LE_11719	:TermBasedCode
:LE_1172	im:CM_ActiveStatus	ST.KATHARINE DOCKS PRACTICE		LE_1172	:TermBasedCode
:LE_11720	im:CM_ActiveStatus	stanwell road surgery		LE_11720	:TermBasedCode
:LE_11721	im:CM_ActiveStatus	station road, surgery		LE_11721	:TermBasedCode
:LE_11722	im:CM_ActiveStatus	stockbridge surgery		LE_11722	:TermBasedCode
:LE_11723	im:CM_ActiveStatus	stoke mandeville hospital		LE_11723	:TermBasedCode
:LE_11724	im:CM_ActiveStatus	stoke rd surgery bishops cleeve		LE_11724	:TermBasedCode
:LE_11725	im:CM_ActiveStatus	stokewood surgery		LE_11725	:TermBasedCode
:LE_11726	im:CM_ActiveStatus	stone cross surgery		LE_11726	:TermBasedCode
:LE_11727	im:CM_ActiveStatus	stonedean practice, stony stratford		LE_11727	:TermBasedCode
:LE_11728	im:CM_ActiveStatus	stottesdon		LE_11728	:TermBasedCode
:LE_11729	im:CM_ActiveStatus	straight road doctors surgery		LE_11729	:TermBasedCode
:LE_1173	im:CM_ActiveStatus	Stalham Green Surgery		LE_1173	:TermBasedCode
:LE_11730	im:CM_ActiveStatus	strensham road surgery		LE_11730	:TermBasedCode
:LE_11731	im:CM_ActiveStatus	stroud emergency medical centre		LE_11731	:TermBasedCode
:LE_11732	im:CM_ActiveStatus	studholme medical centre		LE_11732	:TermBasedCode
:LE_11733	im:CM_ActiveStatus	sudbury  alperton medical centre		LE_11733	:TermBasedCode
:LE_11734	im:CM_ActiveStatus	summary, misc		LE_11734	:TermBasedCode
:LE_11735	im:CM_ActiveStatus	summerhill surgery		LE_11735	:TermBasedCode
:LE_11736	im:CM_ActiveStatus	summervale surgery		LE_11736	:TermBasedCode
:LE_11737	im:CM_ActiveStatus	sun 8-10 visits		LE_11737	:TermBasedCode
:LE_11738	im:CM_ActiveStatus	sunbury health centre		LE_11738	:TermBasedCode
:LE_11739	im:CM_ActiveStatus	sunderland house		LE_11739	:TermBasedCode
:LE_1174	im:CM_ActiveStatus	Stamford Hill Group Practice		LE_1174	:TermBasedCode
:LE_11740	im:CM_ActiveStatus	sunny meed surgery		LE_11740	:TermBasedCode
:LE_11741	im:CM_ActiveStatus	surgery (out of hours)		LE_11741	:TermBasedCode
:LE_11742	im:CM_ActiveStatus	surgery - dunsfold		LE_11742	:TermBasedCode
:LE_11743	im:CM_ActiveStatus	surgery admin, patient not present		LE_11743	:TermBasedCode
:LE_11744	im:CM_ActiveStatus	surgery, 20 st leonards road		LE_11744	:TermBasedCode
:LE_11745	im:CM_ActiveStatus	surgery, 8 week check done dr alim		LE_11745	:TermBasedCode
:LE_11746	im:CM_ActiveStatus	surgery, advised patient to collect vit d script ws		LE_11746	:TermBasedCode
:LE_11747	im:CM_ActiveStatus	surgery, asthma review		LE_11747	:TermBasedCode
:LE_11748	im:CM_ActiveStatus	surgery, auth by fb over the phone		LE_11748	:TermBasedCode
:LE_11749	im:CM_ActiveStatus	surgery, auth by marcia		LE_11749	:TermBasedCode
:LE_1175	im:CM_ActiveStatus	Star Lane Medical Centre		LE_1175	:TermBasedCode
:LE_11750	im:CM_ActiveStatus	surgery, barton surgery		LE_11750	:TermBasedCode
:LE_11751	im:CM_ActiveStatus	surgery, c/o pharmacist		LE_11751	:TermBasedCode
:LE_11752	im:CM_ActiveStatus	surgery, casualty		LE_11752	:TermBasedCode
:LE_11753	im:CM_ActiveStatus	surgery, danetre hospital		LE_11753	:TermBasedCode
:LE_11754	im:CM_ActiveStatus	surgery, done by dr. okukenu		LE_11754	:TermBasedCode
:LE_11755	im:CM_ActiveStatus	surgery, g p surgery		LE_11755	:TermBasedCode
:LE_11756	im:CM_ActiveStatus	surgery, g.p. surgery		LE_11756	:TermBasedCode
:LE_11757	im:CM_ActiveStatus	surgery, g.p. surgery  east parade		LE_11757	:TermBasedCode
:LE_11758	im:CM_ActiveStatus	surgery, g.p.surgery seen by practice nurse seen by gp		LE_11758	:TermBasedCode
:LE_11759	im:CM_ActiveStatus	surgery, gervis road surgery		LE_11759	:TermBasedCode
:LE_1176	im:CM_ActiveStatus	Statham Grove Surgery		LE_1176	:TermBasedCode
:LE_11760	im:CM_ActiveStatus	surgery, given at school		LE_11760	:TermBasedCode
:LE_11761	im:CM_ActiveStatus	surgery, given elsewhere		LE_11761	:TermBasedCode
:LE_11762	im:CM_ActiveStatus	surgery, highgate surgery		LE_11762	:TermBasedCode
:LE_11763	im:CM_ActiveStatus	surgery, hospital discharge		LE_11763	:TermBasedCode
:LE_11764	im:CM_ActiveStatus	surgery, hospital private		LE_11764	:TermBasedCode
:LE_11765	im:CM_ActiveStatus	surgery, in lithuania		LE_11765	:TermBasedCode
:LE_11766	im:CM_ActiveStatus	surgery, information (no patient contact) 2/2		LE_11766	:TermBasedCode
:LE_11767	im:CM_ActiveStatus	surgery, lister house surgery		LE_11767	:TermBasedCode
:LE_11768	im:CM_ActiveStatus	surgery, maple access partnership llp		LE_11768	:TermBasedCode
:LE_11769	im:CM_ActiveStatus	surgery, markyate surgery		LE_11769	:TermBasedCode
:LE_1177	im:CM_ActiveStatus	STATION ROAD SURGERY		LE_1177	:TermBasedCode
:LE_11770	im:CM_ActiveStatus	surgery, mauldeth medical centre		LE_11770	:TermBasedCode
:LE_11771	im:CM_ActiveStatus	surgery, medication review done by dr. akhtar		LE_11771	:TermBasedCode
:LE_11772	im:CM_ActiveStatus	surgery, message left to inform pt dvla form done		LE_11772	:TermBasedCode
:LE_11773	im:CM_ActiveStatus	surgery, midway medical walkin centre		LE_11773	:TermBasedCode
:LE_11774	im:CM_ActiveStatus	surgery, notes summarising		LE_11774	:TermBasedCode
:LE_11775	im:CM_ActiveStatus	surgery, out of hours		LE_11775	:TermBasedCode
:LE_11776	im:CM_ActiveStatus	surgery, out of hours surgery		LE_11776	:TermBasedCode
:LE_11777	im:CM_ActiveStatus	surgery, owens park		LE_11777	:TermBasedCode
:LE_11778	im:CM_ActiveStatus	surgery, previous gp summary		LE_11778	:TermBasedCode
:LE_11779	im:CM_ActiveStatus	surgery, referral letter from the 14/05/2013 faxed		LE_11779	:TermBasedCode
:LE_1178	im:CM_ActiveStatus	STOCKWELL GROUP PRACTICE		LE_1178	:TermBasedCode
:LE_11780	im:CM_ActiveStatus	surgery, see hospital letter		LE_11780	:TermBasedCode
:LE_11781	im:CM_ActiveStatus	surgery, seen by dr pm		LE_11781	:TermBasedCode
:LE_11782	im:CM_ActiveStatus	surgery, seen by dr. akhtar		LE_11782	:TermBasedCode
:LE_11783	im:CM_ActiveStatus	surgery, seen by gp		LE_11783	:TermBasedCode
:LE_11784	im:CM_ActiveStatus	surgery, seen in diabetes clinic- imperial college		LE_11784	:TermBasedCode
:LE_11785	im:CM_ActiveStatus	surgery, seen in gps surgery - patient consent form minor surgery		LE_11785	:TermBasedCode
